date,token_symbol,token_name,open,high,low,close,volume,market_cap,source
2025-06-05,MONERO,,314.28000000,338.55000000,310.63000000,317.56000000,111481903.00,5857963113.00,CoinMarketCap
2025-06-04,MONERO,,344.49000000,352.75000000,303.02000000,314.28000000,99580799.00,5797489033.00,CoinMarketCap
2025-06-03,MONERO,,358.13000000,370.43000000,341.76000000,344.49000000,98176571.00,6354690918.00,CoinMarketCap
2025-06-02,MONERO,,348.71000000,368.33000000,341.42000000,358.13000000,115083746.00,6606268244.00,CoinMarketCap
2025-06-01,MONERO,,324.18000000,349.07000000,320.78000000,348.71000000,80350783.00,6432556696.00,CoinMarketCap
2025-05-31,MONERO,,325.25000000,330.34000000,313.99000000,324.18000000,77402615.00,5980120543.00,CoinMarketCap
2025-05-30,MONERO,,338.59000000,340.98000000,325.25000000,325.25000000,89658731.00,5999843782.00,CoinMarketCap
2025-05-29,MONERO,,347.32000000,351.44000000,333.45000000,338.59000000,103347117.00,6245892635.00,CoinMarketCap
2025-05-28,MONERO,,371.48000000,371.57000000,322.18000000,347.32000000,171185601.00,6406987716.00,CoinMarketCap
2025-05-27,MONERO,,402.37000000,404.41000000,370.28000000,371.48000000,105968687.00,6852677057.00,CoinMarketCap
2025-05-26,MONERO,,417.72000000,420.38000000,394.94000000,402.37000000,123217921.00,7422403069.00,CoinMarketCap
2025-05-25,MONERO,,403.91000000,418.28000000,395.53000000,417.72000000,118168433.00,7705498054.00,CoinMarketCap
2025-05-24,MONERO,,391.59000000,406.45000000,384.87000000,403.91000000,111485433.00,7450810172.00,CoinMarketCap
2025-05-23,MONERO,,386.21000000,402.27000000,377.17000000,391.59000000,147847473.00,7223649511.00,CoinMarketCap
2025-05-22,MONERO,,397.86000000,409.53000000,384.13000000,386.20000000,173065151.00,7124394451.00,CoinMarketCap
2025-05-21,MONERO,,352.06000000,399.87000000,350.25000000,397.86000000,187171228.00,7339280350.00,CoinMarketCap
2025-05-20,MONERO,,342.96000000,356.37000000,342.82000000,352.06000000,100521124.00,6494452031.00,CoinMarketCap
2025-05-19,MONERO,,337.50000000,346.05000000,335.89000000,342.96000000,100517706.00,6326507391.00,CoinMarketCap
2025-05-18,MONERO,,336.43000000,345.27000000,335.79000000,337.50000000,83084422.00,6225849647.00,CoinMarketCap
2025-05-17,MONERO,,333.85000000,339.98000000,332.46000000,336.43000000,75251022.00,6206013595.00,CoinMarketCap
2025-05-16,MONERO,,335.38000000,343.39000000,332.19000000,333.85000000,102189336.00,6158517628.00,CoinMarketCap
2025-05-15,MONERO,,340.21000000,349.01000000,332.00000000,335.29000000,112816803.00,6184957489.00,CoinMarketCap
2025-05-14,MONERO,,341.86000000,349.12000000,336.93000000,340.20000000,117392350.00,6275617636.00,CoinMarketCap
2025-05-13,MONERO,,337.07000000,345.10000000,332.33000000,341.86000000,145682891.00,6306128891.00,CoinMarketCap
2025-05-12,MONERO,,331.96000000,349.95000000,330.76000000,337.07000000,148507580.00,6217883310.00,CoinMarketCap
2025-05-11,MONERO,,326.07000000,341.50000000,318.65000000,331.96000000,111272955.00,6123536748.00,CoinMarketCap
2025-05-10,MONERO,,316.04000000,333.05000000,309.95000000,326.08000000,118677385.00,6014862634.00,CoinMarketCap
2025-05-09,MONERO,,298.22000000,316.10000000,295.87000000,316.04000000,124336645.00,5829884546.00,CoinMarketCap
2025-05-08,MONERO,,283.29000000,299.75000000,281.27000000,298.10000000,138486380.00,5499003811.00,CoinMarketCap
2025-05-07,MONERO,,287.46000000,290.87000000,278.72000000,283.29000000,101629534.00,5225777675.00,CoinMarketCap
2025-05-06,MONERO,,277.76000000,290.73000000,273.62000000,287.46000000,117374732.00,5302677661.00,CoinMarketCap
2025-05-05,MONERO,,280.27000000,282.50000000,270.20000000,277.76000000,131228860.00,5123733569.00,CoinMarketCap
2025-05-04,MONERO,,278.12000000,280.53000000,264.87000000,280.27000000,101539128.00,5170096980.00,CoinMarketCap
2025-05-03,MONERO,,282.57000000,286.10000000,269.78000000,278.12000000,100403728.00,5130421726.00,CoinMarketCap
2025-05-02,MONERO,,270.90000000,291.56000000,270.17000000,282.57000000,128863487.00,5212510593.00,CoinMarketCap
2025-05-01,MONERO,,278.48000000,287.81000000,270.35000000,270.90000000,104742499.00,4997148503.00,CoinMarketCap
2025-04-30,MONERO,,270.06000000,281.56000000,266.53000000,278.48000000,118100922.00,5137076472.00,CoinMarketCap
2025-04-29,MONERO,,258.77000000,279.63000000,258.63000000,270.06000000,142661410.00,4981776118.00,CoinMarketCap
2025-04-28,MONERO,,233.90000000,339.19000000,233.90000000,258.77000000,340843516.00,4773515074.00,CoinMarketCap
